8.0,8.0,8.0,5.0
7.0,16.0,7.0,7.0
5.0,20.0,5.0,6.0
10.0,8.0,10.0,5.0
8.0,12.0,6.0,4.0
7.0,12.0,5.0,3.0
5.0,9.0,6.0,2.0
2.0,14.0,5.0,3.0
3.0,14.0,7.0,6.0
4.0,12.0,8.0,5.0
3.0,13.0,8.0,5.0
4.0,15.0,7.0,5.0
6.0,8.0,8.0,4.0
6.0,11.0,6.0,4.0
6.0,14.0,5.0,4.0
6.0,18.0,5.0,6.0
8.0,7.0,11.0,7.0
5.0,11.0,6.0,3.0
3.0,13.0,7.0,6.0
4.0,9.0,8.0,5.0
3.0,14.0,9.0,8.0
6.0,17.0,4.0,5.0
8.0,15.0,7.0,7.0
7.0,15.0,6.0,5.0
6.0,14.0,6.0,4.0
6.0,10.0,8.0,6.0
5.0,8.0,7.0,5.0
6.0,14.0,6.0,7.0
8.0,7.0,6.0,3.0
7.0,9.0,8.0,6.0
12.0,11.0,7.0,8.0
11.0,13.0,5.0,6.0
11.0,10.0,7.0,7.0
9.0,6.0,7.0,5.0
7.0,7.0,6.0,6.0
6.0,4.0,7.0,5.0
6.0,10.0,7.0,7.0
7.0,11.0,8.0,7.0
7.0,11.0,7.0,5.0
8.0,14.0,6.0,5.0
9.0,10.0,8.0,5.0
7.0,15.0,5.0,3.0
7.0,9.0,10.0,6.0
8.0,13.0,9.0,7.0
7.0,10.0,8.0,5.0
6.0,9.0,7.0,4.0
8.0,13.0,7.0,5.0
8.0,12.0,6.0,4.0
5.0,14.0,5.0,5.0
6.0,7.0,8.0,6.0
